data_dte,Airport Name,CITY,STATE,COUNTRY,Scheduled,Charter,Total
7/1/21,"Minneapolis, MN: Minneapolis-St Paul International",MINNEAPOLIS/ST.PAUL,MINNESOTA,USA,62373,12,62385
7/1/21,"Rochester, MN: Rochester International",ROCHESTER,MINNESOTA,USA,0,4,4
7/1/21,"Kansas City, MO: Charles B. Wheeler Downtown",KANSAS CITY,MISSOURI,USA,0,53,53
7/1/21,"Kansas City, MO: Kansas City International",KANSAS CITY,MISSOURI,USA,2771,0,2771
7/1/21,"St. Louis, MO: St Louis Lambert International",ST. LOUIS,MISSOURI,USA,26088,10,26098
7/1/21,"Bozeman, MT: Bozeman Yellowstone International",BOZEMAN,MONTANA,USA,0,4,4
7/1/21,"Great Falls, MT: Great Falls International",GREAT FALLS,MONTANA,USA,0,13,13
7/1/21,"Greensboro/High Point, NC: Piedmont Triad International",GREENSBORO/HIGH POINT,NC,USA,366,0,366
7/1/21,"Lincoln, NE: Lincoln Airport",LINCOLN,NEBRASKA,USA,0,4,4
7/1/21,"Omaha, NE: Eppley Airfield",OMAHA,NEBRASKA,USA,0,8,8
7/1/21,"Las Vegas, NV: Harry Reid International",LAS VEGAS,NEVADA,USA,63761,108,63869
7/1/21,"Las Vegas, NV: Henderson Executive",LAS VEGAS,NEVADA,USA,0,19,19
7/1/21,"Reno, NV: Reno/Tahoe International",RENO,NEVADA,USA,5541,12,5553
7/1/21,"Portsmouth, NH: Portsmouth International at Pease",PORTSMOUTH,NEW HAMPSHIRE,USA,0,9,9
7/1/21,"Atlantic City, NJ: Atlantic City International",ATLANTIC CITY,NEW JERSEY,USA,74,16,90
7/1/21,"Belmar/Farmingdale, NJ: Monmouth Executive",BELMAR,NEW JERSEY,USA,0,8,8
7/1/21,"Morristown, NJ: Morristown Municipal",MORRISTOWN,NEW JERSEY,USA,0,4,4
7/1/21,"Newark, NJ: Newark Liberty International",NEWARK,NEW JERSEY,USA,790258,279,790537
7/1/21,"Teterboro, NJ: Teterboro Airport",TETERBORO,NEW JERSEY,USA,0,442,442
7/1/21,"Trenton, NJ: Trenton Mercer",TRENTON,NEW JERSEY,USA,0,3,3
7/1/21,"Albuquerque, NM: Albuquerque International Sunport",ALBUQUERQUE,NEW MEXICO,USA,0,16,16
7/1/21,"Albany, NY: Albany International",ALBANY,NEW YORK,USA,0,11,11
7/1/21,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",BINGHAMTON,NEW YORK,USA,0,7,7
7/1/21,"Buffalo, NY: Buffalo Niagara International",BUFFALO,NEW YORK,USA,0,9,9
7/1/21,"East Hampton, NY: East Hampton Town",EAST HAMPTON,NEW YORK,USA,0,2,2
7/1/21,"Islip, NY: Long Island MacArthur",ISLIP/LONG ISLAND,NEW YORK,USA,0,5,5
7/1/21,"Ithaca/Cortland, NY: Ithaca Tompkins International",ITHACA,NEW YORK,USA,0,6,6
7/1/21,"Monticello, NY: Sullivan County International",MONTICELLO,NEW YORK,USA,0,12,12
